"sample_ref","source_type","source_name","source_url","anonymized_label","current_company","current_job_title","matched_job_family","current_country","current_city","education","major","graduation_status","total_experience_years","related_experience_years","career_history","tech_stack","domain_experience","certifications","languages","github_present","portfolio_present","project_experience_notes","raw_notes","public_safe"
"EMP-JOBUSATLASBE001-01","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 1","Atlas Cloud","Cloud Backend Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Atlas Cloud Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","cloud platform APIs","Not specified","English","true","false","Dummy anonymized sample with experience in cloud platform APIs, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-02","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 2","Atlas Cloud","Software Development Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Atlas Cloud Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","cloud platform APIs","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in cloud platform APIs, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-03","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 3","Atlas Cloud","Backend Software Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Atlas Cloud Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","cloud platform APIs","Not specified","English","true","false","Dummy anonymized sample with experience in cloud platform APIs, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-04","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 4","Atlas Cloud","Platform Backend Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Atlas Cloud Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","cloud platform APIs","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in cloud platform APIs, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-05","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 5","Atlas Cloud","Cloud Backend Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Atlas Cloud Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","cloud platform APIs","Not specified","English","false","false","Dummy anonymized sample with experience in cloud platform APIs, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-01","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 1","Pacific Ads","Software Development Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Pacific Ads Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","ad event ingestion","Not specified","English","true","false","Dummy anonymized sample with experience in ad event ingestion, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-02","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 2","Pacific Ads","Backend Software Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Pacific Ads Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","ad event ingestion","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in ad event ingestion, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-03","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 3","Pacific Ads","Platform Backend Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Pacific Ads Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","ad event ingestion","Not specified","English","true","false","Dummy anonymized sample with experience in ad event ingestion, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-04","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 4","Pacific Ads","Cloud Backend Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Pacific Ads Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","ad event ingestion","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in ad event ingestion, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-05","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 5","Pacific Ads","Software Development Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Pacific Ads Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","ad event ingestion","Not specified","English","false","false","Dummy anonymized sample with experience in ad event ingestion, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSREDWOODBE001-01","dummy_seed","careerlens_generated","","Redwood FinTech Backend employee sample 1","Redwood FinTech","Backend Software Engineer","Backend","United States","New York NY","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Redwood FinTech Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","payment service reliability","Not specified","English","true","false","Dummy anonymized sample with experience in payment service reliability, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSREDWOODBE001-02","dummy_seed","careerlens_generated","","Redwood FinTech Backend employee sample 2","Redwood FinTech","Platform Backend Engineer","Backend","United States","New York NY","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Redwood FinTech Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","payment service reliability","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in payment service reliability, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSREDWOODBE001-03","dummy_seed","careerlens_generated","","Redwood FinTech Backend employee sample 3","Redwood FinTech","Cloud Backend Engineer","Backend","United States","New York NY","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Redwood FinTech Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","payment service reliability","Not specified","English","true","false","Dummy anonymized sample with experience in payment service reliability, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSREDWOODBE001-04","dummy_seed","careerlens_generated","","Redwood FinTech Backend employee sample 4","Redwood FinTech","Software Development Engineer","Backend","United States","New York NY","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Redwood FinTech Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","payment service reliability","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in payment service reliability, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSREDWOODBE001-05","dummy_seed","careerlens_generated","","Redwood FinTech Backend employee sample 5","Redwood FinTech","Backend Software Engineer","Backend","United States","New York NY","Bachelor","Computer Science","Graduated","10","9","Junior Engineer 8 years|Redwood FinTech Backend Engineer 2 years","Java|Spring Boot|MySQL|REST API|Kubernetes|Kafka","payment service reliability","Not specified","English","false","false","Dummy anonymized sample with experience in payment service reliability, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNORTHSTARBE001-01","dummy_seed","careerlens_generated","","Northstar Security Backend employee sample 1","Northstar Security","Platform Backend Engineer","Backend","United States","Boston MA","Bachelor","Computer Science","Graduated","3","2","Junior Engineer 1 years|Northstar Security Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","security automation backend","Not specified","English","true","false","Dummy anonymized sample with experience in security automation backend, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNORTHSTARBE001-02","dummy_seed","careerlens_generated","","Northstar Security Backend employee sample 2","Northstar Security","Cloud Backend Engineer","Backend","United States","Boston MA","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Northstar Security Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","security automation backend","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in security automation backend, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNORTHSTARBE001-03","dummy_seed","careerlens_generated","","Northstar Security Backend employee sample 3","Northstar Security","Software Development Engineer","Backend","United States","Boston MA","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Northstar Security Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","security automation backend","Not specified","English","true","false","Dummy anonymized sample with experience in security automation backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNORTHSTARBE001-04","dummy_seed","careerlens_generated","","Northstar Security Backend employee sample 4","Northstar Security","Backend Software Engineer","Backend","United States","Boston MA","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Northstar Security Backend Engineer 2 years","Java|Spring Boot|MySQL|REST API|Kubernetes|Kafka","security automation backend","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in security automation backend, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNORTHSTARBE001-05","dummy_seed","careerlens_generated","","Northstar Security Backend employee sample 5","Northstar Security","Platform Backend Engineer","Backend","United States","Boston MA","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Northstar Security Backend Engineer 2 years","Spring Boot|MySQL|REST API|Docker|Kafka|Redis","security automation backend","Not specified","English","false","false","Dummy anonymized sample with experience in security automation backend, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSSUMMITBE001-01","dummy_seed","careerlens_generated","","Summit Health AI Backend employee sample 1","Summit Health AI","Cloud Backend Engineer","Backend","United States","San Francisco CA","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Summit Health AI Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","health data API","Not specified","English","true","false","Dummy anonymized sample with experience in health data API, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSSUMMITBE001-02","dummy_seed","careerlens_generated","","Summit Health AI Backend employee sample 2","Summit Health AI","Software Development Engineer","Backend","United States","San Francisco CA","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Summit Health AI Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","health data API","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in health data API, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSSUMMITBE001-03","dummy_seed","careerlens_generated","","Summit Health AI Backend employee sample 3","Summit Health AI","Backend Software Engineer","Backend","United States","San Francisco CA","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Summit Health AI Backend Engineer 2 years","Java|Spring Boot|MySQL|REST API|Kubernetes|Kafka","health data API","Not specified","English","true","false","Dummy anonymized sample with experience in health data API, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSSUMMITBE001-04","dummy_seed","careerlens_generated","","Summit Health AI Backend employee sample 4","Summit Health AI","Platform Backend Engineer","Backend","United States","San Francisco CA","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Summit Health AI Backend Engineer 2 years","Spring Boot|MySQL|REST API|Docker|Kafka|Redis","health data API","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in health data API, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSSUMMITBE001-05","dummy_seed","careerlens_generated","","Summit Health AI Backend employee sample 5","Summit Health AI","Cloud Backend Engineer","Backend","United States","San Francisco CA","Bachelor","Computer Science","Graduated","10","9","Junior Engineer 8 years|Summit Health AI Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","health data API","Not specified","English","false","false","Dummy anonymized sample with experience in health data API, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBLUEHARBORBE001-01","dummy_seed","careerlens_generated","","BlueHarbor Games Backend employee sample 1","BlueHarbor Games","Software Development Engineer","Backend","United States","Los Angeles CA","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|BlueHarbor Games Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","game live service backend","Not specified","English","true","false","Dummy anonymized sample with experience in game live service backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBLUEHARBORBE001-02","dummy_seed","careerlens_generated","","BlueHarbor Games Backend employee sample 2","BlueHarbor Games","Backend Software Engineer","Backend","United States","Los Angeles CA","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|BlueHarbor Games Backend Engineer 2 years","Java|Spring Boot|MySQL|REST API|Kubernetes|Kafka","game live service backend","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in game live service backend, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBLUEHARBORBE001-03","dummy_seed","careerlens_generated","","BlueHarbor Games Backend employee sample 3","BlueHarbor Games","Platform Backend Engineer","Backend","United States","Los Angeles CA","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|BlueHarbor Games Backend Engineer 2 years","Spring Boot|MySQL|REST API|Docker|Kafka|Redis","game live service backend","Not specified","English","true","false","Dummy anonymized sample with experience in game live service backend, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBLUEHARBORBE001-04","dummy_seed","careerlens_generated","","BlueHarbor Games Backend employee sample 4","BlueHarbor Games","Cloud Backend Engineer","Backend","United States","Los Angeles CA","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|BlueHarbor Games Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","game live service backend","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in game live service backend, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBLUEHARBORBE001-05","dummy_seed","careerlens_generated","","BlueHarbor Games Backend employee sample 5","BlueHarbor Games","Software Development Engineer","Backend","United States","Los Angeles CA","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|BlueHarbor Games Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","game live service backend","Not specified","English","false","false","Dummy anonymized sample with experience in game live service backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBRIGHTFE001-01","dummy_seed","careerlens_generated","","BrightMarket Frontend employee sample 1","BrightMarket","Frontend Software Engineer","Frontend","United States","Chicago IL","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|BrightMarket Frontend Engineer 2 years","TypeScript|React|Next.js|CSS|GraphQL|Storybook","seller analytics dashboard","Not specified","English","true","true","Dummy anonymized sample with experience in seller analytics dashboard, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBRIGHTFE001-02","dummy_seed","careerlens_generated","","BrightMarket Frontend employee sample 2","BrightMarket","Product Frontend Engineer","Frontend","United States","Chicago IL","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|BrightMarket Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","seller analytics dashboard","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in seller analytics dashboard, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBRIGHTFE001-03","dummy_seed","careerlens_generated","","BrightMarket Frontend employee sample 3","BrightMarket","Web Application Engineer","Frontend","United States","Chicago IL","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|BrightMarket Frontend Engineer 2 years","Next.js|CSS|REST API|Design System|Tailwind|Performance","seller analytics dashboard","Not specified","English","true","true","Dummy anonymized sample with experience in seller analytics dashboard, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBRIGHTFE001-04","dummy_seed","careerlens_generated","","BrightMarket Frontend employee sample 4","BrightMarket","UI Platform Engineer","Frontend","United States","Chicago IL","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|BrightMarket Frontend Engineer 2 years","CSS|REST API|Design System|Testing|Performance|Figma","seller analytics dashboard","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in seller analytics dashboard, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSBRIGHTFE001-05","dummy_seed","careerlens_generated","","BrightMarket Frontend employee sample 5","BrightMarket","Frontend Software Engineer","Frontend","United States","Chicago IL","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|BrightMarket Frontend Engineer 2 years","REST API|Design System|Testing|Accessibility|Figma|Playwright","seller analytics dashboard","Not specified","English","false","true","Dummy anonymized sample with experience in seller analytics dashboard, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNOVAFE001-01","dummy_seed","careerlens_generated","","Nova Commerce Frontend employee sample 1","Nova Commerce","Product Frontend Engineer","Frontend","United States","San Jose CA","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Nova Commerce Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","checkout web experience","Not specified","English","true","true","Dummy anonymized sample with experience in checkout web experience, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNOVAFE001-02","dummy_seed","careerlens_generated","","Nova Commerce Frontend employee sample 2","Nova Commerce","Web Application Engineer","Frontend","United States","San Jose CA","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Nova Commerce Frontend Engineer 2 years","Next.js|CSS|REST API|Design System|Tailwind|Performance","checkout web experience","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in checkout web experience, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNOVAFE001-03","dummy_seed","careerlens_generated","","Nova Commerce Frontend employee sample 3","Nova Commerce","UI Platform Engineer","Frontend","United States","San Jose CA","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Nova Commerce Frontend Engineer 2 years","CSS|REST API|Design System|Testing|Performance|Figma","checkout web experience","Not specified","English","true","true","Dummy anonymized sample with experience in checkout web experience, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSNOVAFE001-04","dummy_seed","careerlens_generated","","Nova Commerce Frontend employee sample 4","Nova Commerce","Frontend Software Engineer","Frontend","United States","San Jose CA","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Nova Commerce Frontend Engineer 2 years","REST API|Design System|Testing|Accessibility|Figma|Playwright","checkout web experience","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in checkout web experience, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
