"external_ref","source_type","source_name","source_url","company_name","country","city","department","job_title","job_family","employment_type","work_type","required_skills","preferred_skills","required_languages","min_experience_years","max_experience_years","degree_requirement","major_requirement","certification_requirement","portfolio_required","github_required","visa_requirement","salary_range","application_deadline","job_summary","core_responsibilities","raw_notes","salary_score","work_life_balance_score","company_value_score","probability_weight","salary_weight","work_life_balance_weight","company_value_weight","job_fit_weight","evaluation_rationale","active"
"JOB-US-ATLAS-BE-001","dummy_seed","careerlens_generated","","Atlas Cloud","United States","Seattle WA","Cloud Platform","Backend Software Engineer","Backend","Full-time","Hybrid","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","English:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","false","true","Visa sponsorship considered","USD 135k-185k","2026-05-20","Dummy job posting for cloud platform APIs in United States.","Design cloud platform APIs|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","67","78","73","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-PACIFIC-BE-001","dummy_seed","careerlens_generated","","Pacific Ads","United States","Austin TX","Ads Infrastructure","Software Development Engineer","Backend","Full-time","Onsite","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","English:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","USD 140k-195k","2026-05-28","Dummy job posting for ad event ingestion in United States.","Design ad event ingestion|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","74","62","78","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-REDWOOD-BE-001","dummy_seed","careerlens_generated","","Redwood FinTech","United States","New York NY","Payments Core","Platform Backend Engineer","Backend","Full-time","Hybrid","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","English:FLUENT","4","","Bachelor or equivalent","Computer Science or related","Not specified","false","true","Visa sponsorship limited","USD 150k-210k","2026-06-03","Dummy job posting for payment service reliability in United States.","Design payment service reliability|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","81","78","83","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-NORTHSTAR-BE-001","dummy_seed","careerlens_generated","","Northstar Security","United States","Boston MA","Security Engineering","Cloud Backend Engineer","Backend","Full-time","Remote","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","English:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","USD 120k-170k","2026-06-10","Dummy job posting for security automation backend in United States.","Design security automation backend|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","88","88","88","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-SUMMIT-BE-001","dummy_seed","careerlens_generated","","Summit Health AI","United States","San Francisco CA","Health Data Platform","Backend Software Engineer","Backend","Full-time","Hybrid","Java|Spring Boot|MySQL|REST API|Docker","Terraform|GraphQL|Security|Kubernetes","English:FLUENT","4","","Bachelor or equivalent","Computer Science or related","Not specified","false","true","Visa sponsorship considered","USD 155k-220k","2026-06-15","Dummy job posting for health data API in United States.","Design health data API|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","60","78","93","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-BLUEHARBOR-BE-001","dummy_seed","careerlens_generated","","BlueHarbor Games","United States","Los Angeles CA","Live Services","Online Services Engineer","Backend","Full-time","Hybrid","Spring Boot|MySQL|REST API|Docker|AWS","Kubernetes|Kafka|Redis|CI/CD","English:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","USD 125k-175k","2026-06-20","Dummy job posting for game live service backend in United States.","Design game live service backend|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","67","78","71","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-BRIGHT-FE-001","dummy_seed","careerlens_generated","","BrightMarket","United States","Chicago IL","Seller Experience","Frontend Software Engineer","Frontend","Full-time","Hybrid","Next.js|CSS|REST API|Design System|Testing","Storybook|Tailwind|Performance|Figma","English:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa sponsorship considered","USD 115k-165k","2026-06-24","Dummy job posting for seller analytics dashboard in United States.","Design seller analytics dashboard|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","74","78","76","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-NOVA-FE-001","dummy_seed","careerlens_generated","","Nova Commerce","United States","San Jose CA","Checkout Platform","Product Frontend Engineer","Frontend","Full-time","Onsite","CSS|REST API|Design System|Testing|Accessibility","Tailwind|Performance|Figma|Playwright","English:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","USD 130k-190k","2026-06-30","Dummy job posting for checkout web experience in United States.","Design checkout web experience|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","81","62","81","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-SKYLINE-FE-001","dummy_seed","careerlens_generated","","Skyline Travel","United States","Denver CO","Travel Web","Web Application Engineer","Frontend","Full-time","Remote","REST API|Design System|Testing|Accessibility|TypeScript","Performance|Figma|Playwright|i18n","English:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa sponsorship limited","USD 105k-155k","2026-07-08","Dummy job posting for travel booking interface in United States.","Design travel booking interface|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","88","88","86","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-ORBIT-FE-001","dummy_seed","careerlens_generated","","Orbit Media","United States","New York NY","Creator Tools","UI Platform Engineer","Frontend","Full-time","Hybrid","TypeScript|React|Next.js|CSS|REST API","Figma|Playwright|i18n|State Management","English:FLUENT","4","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","USD 145k-205k","2026-07-15","Dummy job posting for creator workflow UI in United States.","Design creator workflow UI|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","60","78","91","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-MEADOW-FE-001","dummy_seed","careerlens_generated","","Meadow HR","United States","Portland OR","People Product","Frontend Software Engineer","Frontend","Full-time","Remote","React|Next.js|CSS|REST API|Design System","Playwright|i18n|State Management|GraphQL","English:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","USD 100k-145k","2026-07-22","Dummy job posting for HR workflow dashboard in United States.","Design HR workflow dashboard|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","67","88","69","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-US-VECTOR-FE-001","dummy_seed","careerlens_generated","","Vector Design Systems","United States","Raleigh NC","Design Platform","Design System Engineer","Frontend","Full-time","Hybrid","Next.js|CSS|REST API|Design System|Testing","GraphQL|Storybook|Tailwind|Performance","English:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa sponsorship considered","USD 120k-175k","2026-07-31","Dummy job posting for component library platform in United States.","Design component library platform|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","74","78","74","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-SAKURA-BE-001","dummy_seed","careerlens_generated","","Sakura Cloud","Japan","Tokyo","Cloud Infrastructure","Backend Software Engineer","Backend","Full-time","Hybrid","REST API|Docker|AWS|System Design|Distributed Systems","Kafka|Redis|CI/CD|Observability","Japanese:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","false","true","Visa support available","JPY 7M-10M","2026-05-20","Dummy job posting for cloud control plane API in Japan.","Design cloud control plane API|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","81","78","79","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-TOKYO-MOB-BE-001","dummy_seed","careerlens_generated","","Tokyo Mobility","Japan","Tokyo","Mobility Platform","Platform Backend Engineer","Backend","Full-time","Onsite","Docker|AWS|System Design|Distributed Systems|Java","Redis|CI/CD|Observability|Terraform","Japanese:BUSINESS","4","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa support available","JPY 8M-12M","2026-05-28","Dummy job posting for mobility dispatch backend in Japan.","Design mobility dispatch backend|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","88","62","84","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-KYOTO-ROB-BE-001","dummy_seed","careerlens_generated","","Kyoto Robotics","Japan","Kyoto","Robot Cloud","Cloud Backend Engineer","Backend","Full-time","Hybrid","Java|Spring Boot|MySQL|REST API|Docker","CI/CD|Observability|Terraform|GraphQL","Japanese:CONVERSATIONAL|English:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","false","true","Not specified","JPY 7M-11M","2026-06-03","Dummy job posting for robot telemetry service in Japan.","Design robot telemetry service|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","60","78","89","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-NIPPON-FIN-BE-001","dummy_seed","careerlens_generated","","Nippon Fintech","Japan","Tokyo","Settlement Core","Backend Software Engineer","Backend","Full-time","Hybrid","Spring Boot|MySQL|REST API|Docker|AWS","Observability|Terraform|GraphQL|Security","Japanese:BUSINESS","5","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa support available","JPY 9M-13M","2026-06-10","Dummy job posting for settlement transaction API in Japan.","Design settlement transaction API|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","67","78","94","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-OSAKA-RETAIL-BE-001","dummy_seed","careerlens_generated","","Osaka Retail Tech","Japan","Osaka","Commerce Backend","Software Development Engineer","Backend","Full-time","Remote","MySQL|REST API|Docker|AWS|System Design","Terraform|GraphQL|Security|Kubernetes","Japanese:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","false","true","Not specified","JPY 6M-9M","2026-06-15","Dummy job posting for retail inventory backend in Japan.","Design retail inventory backend|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","74","88","72","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-KANTO-DATA-BE-001","dummy_seed","careerlens_generated","","Kanto Data Systems","Japan","Yokohama","Data Platform","Data Backend Engineer","Backend","Full-time","Hybrid","REST API|Docker|AWS|System Design|Distributed Systems","Kubernetes|Kafka|Redis|CI/CD","Japanese:BUSINESS","4","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa support limited","JPY 8M-12M","2026-06-20","Dummy job posting for data ingestion backend in Japan.","Design data ingestion backend|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","81","78","77","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-RAKUDA-FE-001","dummy_seed","careerlens_generated","","Rakuda Commerce","Japan","Tokyo","Commerce Web","Frontend Software Engineer","Frontend","Full-time","Hybrid","REST API|Design System|Testing|Accessibility|TypeScript","Storybook|Tailwind|Performance|Figma","Japanese:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa support available","JPY 6M-9M","2026-06-24","Dummy job posting for commerce storefront in Japan.","Design commerce storefront|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","88","78","82","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-SHIBUYA-FE-001","dummy_seed","careerlens_generated","","Shibuya Media Lab","Japan","Tokyo","Media Product","Product Frontend Engineer","Frontend","Full-time","Onsite","TypeScript|React|Next.js|CSS|REST API","Tailwind|Performance|Figma|Playwright","Japanese:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","JPY 7M-10M","2026-06-30","Dummy job posting for media editing UI in Japan.","Design media editing UI|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","60","62","87","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-FUJI-FE-001","dummy_seed","careerlens_generated","","Fuji Travel Tech","Japan","Nagoya","Travel Experience","Web Application Engineer","Frontend","Full-time","Remote","React|Next.js|CSS|REST API|Design System","Performance|Figma|Playwright|i18n","Japanese:CONVERSATIONAL|English:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa support limited","JPY 6M-9M","2026-07-08","Dummy job posting for travel itinerary interface in Japan.","Design travel itinerary interface|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","67","88","92","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-KANSAI-FE-001","dummy_seed","careerlens_generated","","Kansai SaaS Works","Japan","Osaka","Admin Console","UI Platform Engineer","Frontend","Full-time","Hybrid","Next.js|CSS|REST API|Design System|Testing","Figma|Playwright|i18n|State Management","Japanese:BUSINESS","4","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa support available","JPY 8M-11M","2026-07-15","Dummy job posting for B2B admin console in Japan.","Design B2B admin console|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","74","78","70","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-MIRAI-FE-001","dummy_seed","careerlens_generated","","Mirai EdTech","Japan","Fukuoka","Learning Product","Frontend Software Engineer","Frontend","Full-time","Hybrid","CSS|REST API|Design System|Testing|Accessibility","Playwright|i18n|State Management|GraphQL","Japanese:BUSINESS","2","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Not specified","JPY 5.5M-8.5M","2026-07-22","Dummy job posting for learning dashboard in Japan.","Design learning dashboard|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","81","78","75","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
"JOB-JP-GINZA-FE-001","dummy_seed","careerlens_generated","","Ginza Design Cloud","Japan","Tokyo","Design Collaboration","Design System Engineer","Frontend","Full-time","Hybrid","REST API|Design System|Testing|Accessibility|TypeScript","GraphQL|Storybook|Tailwind|Performance","Japanese:BUSINESS","3","","Bachelor or equivalent","Computer Science or related","Not specified","true","true","Visa support available","JPY 7M-10M","2026-07-31","Dummy job posting for collaboration design system in Japan.","Design collaboration design system|Build reliable services|Collaborate with product and data teams|Improve production quality","Generated dummy posting for CareerLens capstone prototype. Not real external data.","88","78","80","30","15","15","15","25","Generated evaluation weights for prototype recommendation scoring. Job fit and acceptance probability remain primary.","true"
